,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
109,45,management,married,tertiary,0,523,1,0,unknown,5,5,849,2,-1,0,0
110,29,services,divorced,secondary,0,31,1,0,unknown,5,5,194,1,-1,0,0
111,46,technician,divorced,secondary,0,79,0,0,unknown,5,5,144,1,-1,0,0
112,56,self-employed,married,primary,0,-34,1,1,unknown,5,5,212,2,-1,0,0
113,36,blue-collar,married,primary,0,448,1,0,unknown,5,5,286,1,-1,0,0
114,59,retired,divorced,primary,0,81,1,0,unknown,5,5,107,1,-1,0,0
115,44,blue-collar,married,secondary,0,144,1,0,unknown,5,5,247,2,-1,0,0
116,41,admin.,married,secondary,0,351,1,0,unknown,5,5,518,1,-1,0,0
117,33,management,single,tertiary,0,-67,1,0,unknown,5,5,364,1,-1,0,0
118,59,management,divorced,tertiary,0,262,0,0,unknown,5,5,178,1,-1,0,0
119,57,technician,married,primary,0,0,0,0,unknown,5,5,98,1,-1,0,0
120,56,technician,divorced,unknown,0,56,1,0,unknown,5,5,439,1,-1,0,0
121,51,blue-collar,married,secondary,0,26,1,0,unknown,5,5,79,1,-1,0,0
122,34,admin.,married,unknown,0,3,1,0,unknown,5,5,120,3,-1,0,0
123,43,services,married,secondary,0,41,1,1,unknown,5,5,127,2,-1,0,0
124,52,technician,married,tertiary,0,7,0,1,unknown,5,5,175,1,-1,0,0
125,33,technician,single,secondary,0,105,1,0,unknown,5,5,262,2,-1,0,0
126,29,admin.,single,secondary,0,818,1,1,unknown,5,5,61,1,-1,0,0
127,34,services,married,secondary,0,-16,1,1,unknown,5,5,78,1,-1,0,0
128,31,blue-collar,married,secondary,0,0,1,0,unknown,5,5,143,1,-1,0,0
129,55,services,married,secondary,0,2476,1,0,unknown,5,5,579,1,-1,0,1
130,55,management,married,unknown,0,1185,0,0,unknown,5,5,677,1,-1,0,0
131,32,admin.,single,secondary,0,217,1,0,unknown,5,5,345,1,-1,0,0
132,38,technician,single,secondary,0,1685,1,0,unknown,5,5,185,1,-1,0,0
133,55,admin.,single,secondary,0,802,1,1,unknown,5,5,100,2,-1,0,0
134,28,unemployed,single,tertiary,0,0,1,0,unknown,5,5,125,2,-1,0,0
135,23,blue-collar,married,secondary,0,94,1,0,unknown,5,5,193,1,-1,0,0
136,32,technician,single,secondary,0,0,1,0,unknown,5,5,136,1,-1,0,0
137,43,services,single,unknown,0,0,0,0,unknown,5,5,73,1,-1,0,0
138,32,blue-collar,married,secondary,0,517,1,0,unknown,5,5,528,1,-1,0,0
139,46,blue-collar,married,secondary,0,265,1,0,unknown,5,5,541,1,-1,0,0
140,53,housemaid,divorced,primary,0,947,1,0,unknown,5,5,163,1,-1,0,0
141,34,self-employed,single,secondary,0,3,1,0,unknown,5,5,301,1,-1,0,0
142,57,unemployed,married,tertiary,0,42,0,0,unknown,5,5,46,1,-1,0,0
143,37,blue-collar,married,secondary,0,37,1,0,unknown,5,5,204,1,-1,0,0
144,59,blue-collar,married,secondary,0,57,1,0,unknown,5,5,98,1,-1,0,0
145,33,services,married,secondary,0,22,1,0,unknown,5,5,71,1,-1,0,0
146,56,blue-collar,divorced,primary,0,8,1,0,unknown,5,5,157,2,-1,0,0
147,48,unemployed,married,secondary,0,293,1,0,unknown,5,5,243,1,-1,0,0
148,43,services,married,primary,0,3,1,0,unknown,5,5,186,2,-1,0,0
149,54,blue-collar,married,primary,0,348,1,0,unknown,5,5,579,2,-1,0,0
150,51,blue-collar,married,unknown,0,-19,1,0,unknown,5,5,163,2,-1,0,0
151,26,student,single,secondary,0,0,1,0,unknown,5,5,610,2,-1,0,0
152,40,management,married,tertiary,0,-4,1,0,unknown,5,5,2033,1,-1,0,0
153,39,management,married,secondary,0,18,1,0,unknown,5,5,85,1,-1,0,0
154,50,technician,married,primary,0,139,0,0,unknown,5,5,114,2,-1,0,0
155,41,services,married,secondary,0,0,1,0,unknown,5,5,114,2,-1,0,0
156,51,blue-collar,married,unknown,0,1883,1,0,unknown,5,5,57,1,-1,0,0
157,60,retired,divorced,secondary,0,216,1,0,unknown,5,5,238,1,-1,0,0
158,52,blue-collar,married,secondary,0,782,1,0,unknown,5,5,93,3,-1,0,0
159,48,blue-collar,married,secondary,0,904,1,0,unknown,5,5,128,2,-1,0,0
160,48,services,married,unknown,0,1705,1,0,unknown,5,5,107,1,-1,0,0
161,39,technician,single,tertiary,0,47,1,0,unknown,5,5,181,1,-1,0,0
162,47,services,single,secondary,0,176,1,0,unknown,5,5,303,2,-1,0,0
163,40,blue-collar,married,secondary,0,1225,1,0,unknown,5,5,558,5,-1,0,0
164,45,technician,married,secondary,0,86,1,0,unknown,5,5,270,1,-1,0,0
165,26,admin.,single,secondary,0,82,1,0,unknown,5,5,228,1,-1,0,0
166,52,management,married,tertiary,0,271,1,0,unknown,5,5,99,1,-1,0,0
167,54,technician,married,secondary,0,1378,1,0,unknown,5,5,240,1,-1,0,0
168,54,admin.,married,tertiary,0,184,0,0,unknown,5,5,673,2,-1,0,1
169,50,blue-collar,married,primary,0,0,0,0,unknown,5,5,233,3,-1,0,0
170,35,blue-collar,married,secondary,0,0,1,0,unknown,5,5,1056,1,-1,0,0
171,44,services,married,secondary,0,1357,1,1,unknown,5,5,250,1,-1,0,0
172,53,entrepreneur,married,unknown,0,19,1,0,unknown,5,5,252,1,-1,0,0
173,35,retired,single,primary,0,434,0,0,unknown,5,5,138,1,-1,0,0
174,60,admin.,divorced,secondary,0,92,1,0,unknown,5,5,130,1,-1,0,0
175,53,admin.,divorced,secondary,0,1151,1,0,unknown,5,5,412,1,-1,0,0
176,48,unemployed,married,secondary,0,41,1,0,unknown,5,5,179,2,-1,0,0
177,34,technician,married,secondary,0,51,1,0,unknown,5,5,19,2,-1,0,0
178,54,services,married,secondary,0,214,1,0,unknown,5,5,458,2,-1,0,0
179,51,management,married,secondary,0,1161,1,0,unknown,5,5,717,1,-1,0,0
180,31,services,married,tertiary,0,37,1,0,unknown,5,5,313,1,-1,0,0
181,35,technician,divorced,secondary,0,787,1,0,unknown,5,5,683,2,-1,0,0
182,35,services,married,secondary,0,59,1,0,unknown,5,5,1077,1,-1,0,0
183,38,technician,married,secondary,0,253,1,0,unknown,5,5,416,1,-1,0,0
184,36,admin.,married,tertiary,0,211,1,0,unknown,5,5,146,2,-1,0,0
185,58,retired,married,primary,0,235,1,0,unknown,5,5,167,1,-1,0,0
186,40,services,divorced,unknown,0,4384,1,0,unknown,5,5,315,1,-1,0,0
187,54,management,married,secondary,0,4080,0,0,unknown,5,5,140,1,-1,0,0
188,34,blue-collar,single,secondary,0,53,1,1,unknown,5,5,346,1,-1,0,0
189,31,management,single,tertiary,0,0,1,0,unknown,5,5,562,1,-1,0,0
190,51,retired,married,secondary,0,2127,1,0,unknown,5,5,172,1,-1,0,0
191,33,management,married,tertiary,0,377,1,0,unknown,5,5,217,1,-1,0,0
192,55,management,married,tertiary,0,73,1,0,unknown,5,5,142,2,-1,0,0
193,42,admin.,married,secondary,0,445,1,0,unknown,5,5,67,1,-1,0,0
194,34,blue-collar,married,secondary,0,243,1,0,unknown,5,5,291,1,-1,0,0
195,33,blue-collar,single,secondary,0,307,1,0,unknown,5,5,309,2,-1,0,0
196,38,services,married,secondary,0,155,1,0,unknown,5,5,248,1,-1,0,0
197,50,technician,divorced,tertiary,0,173,0,1,unknown,5,5,98,1,-1,0,0
198,43,management,married,tertiary,0,400,1,0,unknown,5,5,256,1,-1,0,0
199,61,blue-collar,divorced,primary,0,1428,1,0,unknown,5,5,82,2,-1,0,0
200,47,admin.,married,secondary,0,219,1,0,unknown,5,5,577,1,-1,0,0
201,48,self-employed,married,tertiary,0,7,1,0,unknown,5,5,286,1,-1,0,0
202,44,blue-collar,married,secondary,0,575,1,0,unknown,5,5,477,1,-1,0,0
203,35,student,single,unknown,0,298,1,0,unknown,5,5,611,2,-1,0,0
204,35,services,married,secondary,0,0,1,0,unknown,5,5,471,1,-1,0,0
205,50,services,married,secondary,0,5699,1,0,unknown,5,5,381,2,-1,0,0
206,41,management,married,tertiary,0,176,1,1,unknown,5,5,42,1,-1,0,0
207,41,management,married,tertiary,0,517,1,0,unknown,5,5,251,1,-1,0,0
208,39,services,single,unknown,0,257,1,0,unknown,5,5,408,1,-1,0,0
209,42,retired,married,secondary,0,56,1,0,unknown,5,5,215,1,-1,0,0
210,38,blue-collar,married,secondary,0,-390,1,0,unknown,5,5,287,1,-1,0,0
211,53,retired,married,secondary,0,330,1,0,unknown,5,5,216,2,-1,0,0
212,59,housemaid,divorced,primary,0,195,0,0,unknown,5,5,366,2,-1,0,0
213,36,services,married,secondary,0,301,1,0,unknown,5,5,210,1,-1,0,0
214,54,blue-collar,married,primary,0,-41,1,0,unknown,5,5,288,1,-1,0,0
215,40,technician,married,tertiary,0,483,1,0,unknown,5,5,168,1,-1,0,0
217,53,unemployed,married,unknown,0,13,0,0,unknown,5,5,410,3,-1,0,0
218,46,housemaid,married,primary,0,965,0,0,unknown,5,5,177,1,-1,0,0
219,39,management,married,tertiary,0,378,1,1,unknown,5,5,127,2,-1,0,0
220,40,unemployed,married,secondary,0,219,1,0,unknown,5,5,357,1,-1,0,0
221,28,blue-collar,married,primary,0,324,1,0,unknown,5,5,175,1,-1,0,0
222,35,entrepreneur,divorced,secondary,0,-69,1,0,unknown,5,5,300,1,-1,0,0
223,55,retired,married,secondary,0,0,0,1,unknown,5,5,136,1,-1,0,0
224,43,technician,divorced,unknown,0,205,1,0,unknown,5,5,1419,1,-1,0,0
225,48,blue-collar,married,primary,0,278,1,0,unknown,5,5,125,2,-1,0,0
226,58,management,married,unknown,0,1065,1,0,unknown,5,5,213,3,-1,0,0
227,33,management,single,tertiary,0,34,1,0,unknown,5,5,27,1,-1,0,0
228,36,blue-collar,married,unknown,0,1033,0,0,unknown,5,5,238,2,-1,0,0
229,53,services,divorced,secondary,0,1467,1,0,unknown,5,5,124,1,-1,0,0
230,47,blue-collar,married,primary,0,-12,1,0,unknown,5,5,18,1,-1,0,0
231,31,services,married,secondary,0,388,1,0,unknown,5,5,730,2,-1,0,0
232,57,entrepreneur,married,secondary,0,294,1,0,unknown,5,5,746,2,-1,0,0
233,53,blue-collar,married,unknown,0,1827,0,0,unknown,5,5,121,1,-1,0,0
234,55,blue-collar,married,primary,0,627,1,0,unknown,5,5,247,1,-1,0,0
235,45,blue-collar,married,primary,0,25,1,0,unknown,5,5,40,1,-1,0,0
236,53,admin.,divorced,secondary,0,315,1,0,unknown,5,5,181,2,-1,0,0
237,37,blue-collar,married,primary,0,0,1,0,unknown,5,5,79,1,-1,0,0
238,44,admin.,divorced,secondary,0,66,1,0,unknown,5,5,206,1,-1,0,0
239,49,blue-collar,divorced,primary,0,-9,1,1,unknown,5,5,389,1,-1,0,0
240,46,technician,married,secondary,0,349,1,1,unknown,5,5,127,1,-1,0,0
241,43,entrepreneur,married,unknown,0,100,1,0,unknown,5,5,702,1,-1,0,0
242,38,admin.,married,secondary,0,0,0,0,unknown,5,5,151,1,-1,0,0
243,43,technician,married,secondary,0,434,1,0,unknown,5,5,117,1,-1,0,0
244,49,management,married,tertiary,0,3237,1,0,unknown,5,5,232,3,-1,0,0
245,42,management,married,unknown,0,275,0,0,unknown,5,5,408,2,-1,0,0
246,22,blue-collar,single,secondary,0,0,1,0,unknown,5,5,179,2,-1,0,0
247,40,management,married,tertiary,0,207,1,0,unknown,5,5,39,1,-1,0,0
248,39,blue-collar,married,secondary,0,483,1,0,unknown,5,5,282,1,-1,0,0
249,51,services,married,secondary,0,2248,1,0,unknown,5,5,714,2,-1,0,0
250,49,admin.,married,secondary,0,428,1,0,unknown,5,5,50,1,-1,0,0
251,53,blue-collar,married,secondary,0,0,1,1,unknown,5,5,181,1,-1,0,0
252,34,services,single,secondary,0,0,1,0,unknown,5,5,142,1,-1,0,0
253,33,technician,divorced,secondary,0,140,1,0,unknown,5,5,227,1,-1,0,0
254,50,management,single,tertiary,0,297,1,0,unknown,5,5,119,1,-1,0,0
255,39,blue-collar,married,primary,0,279,1,0,unknown,5,5,361,1,-1,0,0
256,59,entrepreneur,divorced,secondary,0,901,1,0,unknown,5,5,73,3,-1,0,0
257,30,technician,single,secondary,0,2573,1,0,unknown,5,5,67,2,-1,0,0
258,36,services,married,secondary,0,143,1,1,unknown,5,5,350,1,-1,0,0
259,40,blue-collar,married,secondary,0,475,1,0,unknown,5,5,332,2,-1,0,0
260,53,blue-collar,married,secondary,0,70,1,0,unknown,5,5,611,2,-1,0,0
261,34,management,single,tertiary,0,318,1,0,unknown,5,5,113,2,-1,0,0
262,37,technician,married,secondary,0,275,1,0,unknown,5,5,132,1,-1,0,0
263,42,management,divorced,tertiary,0,742,1,0,unknown,5,5,58,3,-1,0,0
264,41,entrepreneur,married,primary,0,236,1,0,unknown,5,5,151,1,-1,0,0
265,30,student,single,tertiary,0,25,1,0,unknown,5,5,89,2,-1,0,0
266,37,management,single,tertiary,0,600,1,0,unknown,5,5,152,1,-1,0,0
267,39,admin.,divorced,secondary,0,-349,1,0,unknown,5,5,611,2,-1,0,0
268,41,blue-collar,married,primary,0,183,1,1,unknown,5,5,110,2,-1,0,0
269,40,blue-collar,married,primary,0,0,1,0,unknown,5,5,463,1,-1,0,0
270,42,management,single,tertiary,0,0,1,1,unknown,5,5,562,2,-1,0,1
271,40,blue-collar,divorced,primary,0,0,1,0,unknown,5,5,962,1,-1,0,0
272,57,technician,married,secondary,0,1078,1,0,unknown,5,5,10,4,-1,0,0
273,56,entrepreneur,divorced,secondary,0,155,0,0,unknown,5,5,118,3,-1,0,0
274,37,admin.,married,secondary,0,190,1,0,unknown,5,5,92,2,-1,0,0
275,59,retired,married,secondary,0,319,1,0,unknown,5,5,143,3,-1,0,0
276,39,services,divorced,secondary,0,-185,1,0,unknown,5,5,189,3,-1,0,0
277,49,services,married,secondary,0,47,0,0,unknown,5,5,234,2,-1,0,0
278,38,services,single,secondary,0,570,1,0,unknown,5,5,75,2,-1,0,0
279,36,self-employed,married,tertiary,0,19,0,0,unknown,5,5,189,2,-1,0,0
280,50,blue-collar,married,primary,0,61,1,0,unknown,5,5,621,3,-1,0,0
281,41,admin.,married,secondary,0,-62,1,1,unknown,5,5,55,2,-1,0,0
282,54,technician,married,tertiary,0,258,0,0,unknown,5,5,310,4,-1,0,0
283,58,blue-collar,married,primary,0,76,1,0,unknown,5,5,156,2,-1,0,0
284,30,blue-collar,single,secondary,0,0,1,0,unknown,5,5,5,2,-1,0,0
285,33,admin.,single,secondary,0,352,1,0,unknown,5,5,225,2,-1,0,0
286,47,admin.,married,secondary,0,368,1,0,unknown,5,5,125,2,-1,0,0
287,50,technician,single,tertiary,0,339,1,0,unknown,5,5,2,3,-1,0,0
288,32,blue-collar,married,secondary,0,1331,1,0,unknown,5,5,286,2,-1,0,0
289,40,self-employed,married,secondary,0,672,1,0,unknown,5,5,164,2,-1,0,0
290,37,management,married,tertiary,0,58,1,0,unknown,5,5,98,2,-1,0,0
291,54,technician,single,unknown,0,447,1,0,unknown,5,5,742,2,-1,0,0
292,24,student,single,secondary,0,423,1,0,unknown,5,5,226,3,-1,0,0
293,54,management,married,tertiary,0,0,0,0,unknown,5,5,120,2,-1,0,0
294,34,technician,married,secondary,0,19,1,0,unknown,5,5,362,4,-1,0,0
295,56,technician,divorced,primary,0,13,1,0,unknown,5,5,357,2,-1,0,0
296,31,blue-collar,single,secondary,0,3,1,0,unknown,5,5,200,2,-1,0,0
297,24,student,single,secondary,0,82,1,0,unknown,5,5,204,2,-1,0,0
298,42,blue-collar,divorced,primary,0,28,1,0,unknown,5,5,126,3,-1,0,0
299,57,technician,married,secondary,0,792,1,0,unknown,5,5,65,2,-1,0,0
300,42,blue-collar,married,unknown,0,408,1,0,unknown,5,5,107,2,-1,0,0
301,51,admin.,married,secondary,0,531,1,0,unknown,5,5,267,2,-1,0,0
302,57,retired,married,secondary,0,211,1,0,unknown,5,5,248,2,-1,0,0
303,36,services,single,secondary,0,62,1,0,unknown,5,5,215,2,-1,0,0
304,53,services,married,unknown,0,257,1,0,unknown,5,5,209,2,-1,0,0
305,50,technician,married,secondary,0,1234,1,0,unknown,5,5,205,2,-1,0,0
306,54,management,married,tertiary,0,313,1,0,unknown,5,5,83,2,-1,0,0
307,55,blue-collar,married,secondary,0,89,1,0,unknown,5,5,106,3,-1,0,0
308,44,blue-collar,married,secondary,0,129,1,1,unknown,5,5,189,2,-1,0,0
309,43,management,married,unknown,0,0,1,0,unknown,5,5,105,2,-1,0,0
310,56,admin.,married,secondary,0,353,1,0,unknown,5,5,106,2,-1,0,0
311,54,technician,married,unknown,0,851,1,0,unknown,5,5,108,2,-1,0,0
312,55,services,divorced,primary,0,96,1,1,unknown,5,5,311,2,-1,0,0
313,37,services,divorced,secondary,0,398,1,1,unknown,5,5,214,2,-1,0,0
314,33,admin.,single,tertiary,0,193,0,0,unknown,5,5,132,2,-1,0,0
315,46,admin.,married,secondary,0,-358,1,0,unknown,5,5,358,2,-1,0,0
316,36,blue-collar,married,secondary,0,539,1,1,unknown,5,5,453,2,-1,0,0
317,51,technician,single,secondary,0,0,1,0,unknown,5,5,364,2,-1,0,0
318,40,retired,single,primary,0,0,0,0,unknown,5,5,136,2,-1,0,0
319,42,blue-collar,married,secondary,0,490,1,0,unknown,5,5,386,2,-1,0,0
320,51,blue-collar,married,secondary,0,0,1,0,unknown,5,5,173,2,-1,0,0
321,49,blue-collar,married,unknown,0,403,1,0,unknown,5,5,241,2,-1,0,0
322,48,management,married,secondary,0,161,1,0,unknown,5,5,224,3,-1,0,0
323,32,technician,divorced,tertiary,0,2558,0,0,unknown,5,5,148,2,-1,0,0
324,31,admin.,single,secondary,0,98,1,0,unknown,5,5,196,2,-1,0,0
325,55,management,single,tertiary,0,115,0,0,unknown,5,5,111,4,-1,0,0
326,40,blue-collar,single,secondary,0,436,1,0,unknown,5,5,231,3,-1,0,0
327,47,technician,married,tertiary,0,831,1,0,unknown,5,5,316,3,-1,0,0
328,57,technician,married,unknown,0,206,1,0,unknown,5,5,216,3,-1,0,0
329,41,blue-collar,married,secondary,0,290,1,0,unknown,5,5,240,2,-1,0,0
330,48,blue-collar,married,secondary,0,1,0,0,unknown,5,5,669,3,-1,0,0
331,42,blue-collar,married,unknown,0,57,1,0,unknown,5,5,425,2,-1,0,0
332,30,blue-collar,single,secondary,0,-457,1,0,unknown,5,5,143,2,-1,0,0
333,58,management,single,tertiary,0,1387,1,0,unknown,5,5,174,5,-1,0,0
334,45,management,divorced,tertiary,0,24598,1,0,unknown,5,5,313,3,-1,0,0
335,49,blue-collar,married,secondary,0,30,1,0,unknown,5,5,135,4,-1,0,0
336,42,admin.,single,secondary,0,1022,1,0,unknown,5,5,146,2,-1,0,0
337,53,technician,married,secondary,0,56,1,1,unknown,5,5,152,2,-1,0,0
